sampno,home_county_id,mpo_id,vehicle_count,vehicle_count_gps,travel_day1,gps_trips_td,gps_trips_27,diary_trips_td,gps_complete,diary_complete,gps_diary_complete,deldateid,nsdeliverable,geom
1044596,6103,26,3,3,2012-05-05 00:00:00,9,30,5,1,1,1,2,1,REDACTED
1051795,6075,11,2,2,2012-05-13 00:00:00,10,73,7,1,1,1,4,1,REDACTED
1054803,6037,3,2,2,2012-05-03 00:00:00,4,25,4,1,1,1,2,1,REDACTED
1057600,6019,22,1,1,2012-05-05 00:00:00,0,20,0,1,1,1,2,1,REDACTED
1119821,6065,4,3,3,2012-02-02 00:00:00,5,42,5,1,1,1,1,1,REDACTED
1120424,6069,23,2,2,2012-02-02 00:00:00,7,34,4,1,1,1,2,1,REDACTED
1121290,6073,14,2,2,2012-02-02 00:00:00,5,31,6,1,1,1,1,1,REDACTED
1128811,6083,25,2,2,2012-03-20 00:00:00,21,74,16,1,1,1,2,1,REDACTED
1129234,6037,3,1,1,2012-03-31 00:00:00,4,43,3,1,1,1,2,1,REDACTED
1131660,6071,4,2,2,2012-03-04 00:00:00,4,56,4,1,1,1,1,1,REDACTED
1135317,6079,25,4,3,2012-04-06 00:00:00,22,80,20,1,1,1,2,1,REDACTED
1138010,6111,3,1,1,2012-03-10 00:00:00,3,28,4,1,1,1,1,1,REDACTED
1140735,6111,3,2,2,2012-02-09 00:00:00,16,0,12,1,1,1,2,1,REDACTED
1141076,6037,3,1,1,2012-04-27 00:00:00,10,50,4,1,1,1,2,1,REDACTED
1150104,6081,12,2,2,2012-04-19 00:00:00,4,59,3,1,1,1,2,1,REDACTED
1151151,6077,24,1,1,2012-04-28 00:00:00,0,0,0,1,1,1,2,1,REDACTED
1151498,6079,25,2,2,2012-03-28 00:00:00,14,91,13,1,1,1,2,1,REDACTED
1152022,6061,15,3,2,2012-02-13 00:00:00,9,0,10,1,1,1,1,1,REDACTED
1156732,6065,4,3,2,2012-02-15 00:00:00,12,50,10,1,1,1,2,1,REDACTED
1157183,6093,18,3,3,2012-02-16 00:00:00,17,0,24,1,1,1,3,1,REDACTED
1158877,6009,29,2,2,2012-03-29 00:00:00,6,25,3,1,1,1,2,1,REDACTED
1158941,6065,4,3,3,2012-02-15 00:00:00,12,32,8,1,1,1,3,1,REDACTED
1224932,6037,3,4,2,2012-03-11 00:00:00,0,55,0,1,1,1,1,1,REDACTED
1234336,6037,3,2,2,2012-02-16 00:00:00,12,8,12,1,1,1,1,1,REDACTED
1235282,6037,3,2,2,2012-02-27 00:00:00,4,22,4,1,1,1,1,1,REDACTED
1295325,6073,14,1,1,2012-02-10 00:00:00,10,3,9,1,1,1,1,1,REDACTED
1321768,6099,24,1,1,2012-02-25 00:00:00,9,62,10,1,1,1,1,1,REDACTED
1330361,6111,3,3,2,2012-03-07 00:00:00,4,0,2,1,1,1,1,1,REDACTED
1346841,6037,3,2,2,2012-04-30 00:00:00,2,91,2,1,1,1,2,1,REDACTED
1402529,6107,22,2,2,2012-04-22 00:00:00,2,77,1,1,1,1,2,1,REDACTED
1407588,6081,12,2,2,2012-05-16 00:00:00,2,48,2,1,1,1,3,1,REDACTED
1442488,6037,3,2,2,2012-03-24 00:00:00,3,2,3,1,1,1,3,1,REDACTED
1458064,6057,16,2,2,2012-04-21 00:00:00,2,16,2,1,1,1,2,1,REDACTED
1480542,6107,22,2,2,2012-03-17 00:00:00,0,0,0,1,1,1,1,1,REDACTED
1502994,6065,4,3,2,2012-04-20 00:00:00,8,13,11,1,1,1,2,1,REDACTED
1677168,6085,13,2,2,2012-06-06 00:00:00,14,0,7,1,1,1,3,1,REDACTED
1680876,6029,22,3,3,2012-06-13 00:00:00,27,81,21,1,1,1,3,1,REDACTED
1697721,6061,15,4,3,2012-06-06 00:00:00,0,17,7,1,1,1,3,1,REDACTED
1702618,6073,14,1,1,2012-06-09 00:00:00,4,29,4,1,1,1,3,1,REDACTED
1718977,6037,3,2,2,2012-08-08 00:00:00,14,76,15,1,1,1,3,1,REDACTED
1726361,6067,15,2,2,2012-06-04 00:00:00,4,3,3,1,1,1,2,1,REDACTED
1735179,6059,2,2,2,2012-04-27 00:00:00,3,57,3,1,1,1,2,1,REDACTED
1743264,6001,5,4,2,2012-06-05 00:00:00,8,21,4,1,1,1,3,1,REDACTED
1743805,6075,11,1,1,2012-09-10 00:00:00,2,29,2,1,1,1,3,1,REDACTED
1747105,6109,29,2,2,2012-07-03 00:00:00,1,24,2,1,1,1,3,1,REDACTED
1764495,6037,3,1,1,2012-06-08 00:00:00,7,62,7,1,1,1,5,1,REDACTED
1766425,6067,15,2,1,2012-06-20 00:00:00,0,0,0,1,1,1,3,1,REDACTED
1768608,6037,3,2,2,2012-06-18 00:00:00,7,5,7,1,1,1,4,1,REDACTED
1771038,6047,24,2,2,2012-06-16 00:00:00,0,66,0,1,1,1,3,1,REDACTED
1817256,6045,21,2,2,2012-07-13 00:00:00,5,17,4,1,1,1,3,1,REDACTED
1843302,6063,17,2,2,2012-07-19 00:00:00,14,49,12,1,1,1,3,1,REDACTED
1898041,6037,3,3,3,2012-07-18 00:00:00,24,70,13,1,1,1,3,1,REDACTED
1987680,6097,8,3,3,2012-07-21 00:00:00,10,73,10,1,1,1,3,1,REDACTED
2060835,6037,3,1,1,2012-08-22 00:00:00,0,20,0,1,1,1,3,1,REDACTED
2061644,6037,3,2,2,2012-06-26 00:00:00,6,47,4,1,1,1,3,1,REDACTED
2076915,6037,3,2,2,2012-07-16 00:00:00,14,10,10,1,1,1,3,1,REDACTED
2087385,6037,3,1,1,2012-11-01 00:00:00,4,19,3,1,1,1,4,1,REDACTED
2089020,6037,3,3,3,2012-07-28 00:00:00,2,45,2,1,1,1,3,1,REDACTED
2103754,6037,3,2,2,2012-09-07 00:00:00,13,83,9,1,1,1,5,1,REDACTED
2105161,6037,3,1,1,2012-07-22 00:00:00,2,25,2,1,1,1,3,1,REDACTED
2111735,6037,3,2,2,2012-07-25 00:00:00,4,47,4,1,1,1,3,1,REDACTED
2113763,6037,3,1,1,2012-10-09 00:00:00,2,12,1,1,1,1,4,1,REDACTED
2115522,6037,3,1,1,2012-10-29 00:00:00,11,41,7,1,1,1,4,1,REDACTED
2143135,6059,2,2,1,2012-11-05 00:00:00,7,36,7,1,1,1,4,1,REDACTED
2169564,6065,4,1,1,2012-10-11 00:00:00,12,44,7,1,1,1,5,1,REDACTED
2173648,6065,4,1,1,2012-10-03 00:00:00,6,68,5,1,1,1,4,1,REDACTED
2174068,6065,4,3,2,2012-10-31 00:00:00,15,138,10,1,1,1,5,1,REDACTED
2177861,6065,4,1,1,2012-08-23 00:00:00,3,47,3,1,1,1,3,1,REDACTED
2192767,6071,4,1,1,2012-07-29 00:00:00,0,0,0,1,1,1,3,1,REDACTED
2195580,6073,14,1,1,2012-10-08 00:00:00,9,58,9,1,1,1,4,1,REDACTED
2201952,6075,11,1,1,2012-10-16 00:00:00,0,30,0,1,1,1,4,1,REDACTED
2236435,6083,25,2,2,2012-07-02 00:00:00,10,40,9,1,1,1,3,1,REDACTED
2239382,6085,13,1,1,2012-09-04 00:00:00,9,3,7,1,1,1,5,1,REDACTED
2248993,6087,23,1,1,2012-08-26 00:00:00,3,38,3,1,1,1,3,1,REDACTED
2253040,6093,18,2,1,2012-10-21 00:00:00,0,24,0,1,1,1,4,1,REDACTED
2253778,6093,18,3,3,2012-10-31 00:00:00,9,24,10,1,1,1,4,1,REDACTED
2267338,6099,24,2,2,2012-07-28 00:00:00,0,81,0,1,1,1,3,1,REDACTED
2291208,6113,15,2,2,2012-09-01 00:00:00,16,114,12,1,1,1,3,1,REDACTED
2496311,6073,14,3,3,2012-11-22 00:00:00,7,75,6,1,1,1,5,1,REDACTED
2498788,6025,1,1,1,2012-09-20 00:00:00,3,61,4,1,1,1,4,1,REDACTED
2500911,6013,6,2,2,2012-11-03 00:00:00,2,30,2,1,1,1,4,1,REDACTED
2514178,6089,26,3,2,2012-09-23 00:00:00,7,25,7,1,1,1,4,1,REDACTED
2525166,6037,3,3,3,2012-10-27 00:00:00,5,87,4,1,1,1,4,1,REDACTED
2555550,6095,10,2,2,2012-09-17 00:00:00,9,23,8,1,1,1,3,1,REDACTED
2556033,6037,3,2,2,2012-10-12 00:00:00,8,54,8,1,1,1,4,1,REDACTED
2557083,6071,4,1,1,2012-12-01 00:00:00,8,49,9,1,1,1,4,1,REDACTED
2576484,6031,22,2,1,2012-11-02 00:00:00,8,35,4,1,1,1,5,1,REDACTED
2578322,6013,6,2,2,2012-10-02 00:00:00,5,57,5,1,1,1,4,1,REDACTED
2652089,6045,21,2,2,2012-12-07 00:00:00,9,44,8,1,1,1,5,1,REDACTED
2656998,6085,13,2,2,2012-11-11 00:00:00,2,64,2,1,1,1,4,1,REDACTED
2783063,6037,3,1,1,2012-12-05 00:00:00,3,29,3,1,1,1,4,1,REDACTED
2926552,6029,22,3,3,2012-12-29 00:00:00,7,49,6,1,1,1,5,1,REDACTED
3022385,6085,13,2,2,2012-12-25 00:00:00,2,52,2,1,1,1,5,1,REDACTED
3052193,6067,15,3,3,2013-01-05 00:00:00,6,50,7,1,1,1,5,1,REDACTED
7201245,6017,15,2,2,2013-01-12 00:00:00,6,94,6,1,1,1,5,1,REDACTED
7202124,6051,30,3,3,2013-01-20 00:00:00,5,47,5,1,1,1,5,1,REDACTED
7202261,6051,30,1,1,2013-01-19 00:00:00,8,28,8,1,1,1,5,1,REDACTED
7202838,6091,17,1,1,2013-01-12 00:00:00,3,5,3,1,1,1,5,1,REDACTED
7203374,6105,18,2,2,2013-01-27 00:00:00,7,98,4,1,1,1,5,1,REDACTED
7212324,6035,17,3,3,2013-01-30 00:00:00,0,0,0,1,1,1,5,1,REDACTED
1037295,6067,15,1,1,2012-05-02 00:00:00,3,26,2,1,1,1,2,1,REDACTED
1119025,6071,4,2,2,2012-02-01 00:00:00,8,8,5,1,1,1,2,1,REDACTED
1119055,6101,15,2,2,2012-03-01 00:00:00,9,10,9,1,1,1,1,1,REDACTED
1123111,6103,26,2,2,2012-04-16 00:00:00,9,96,6,1,1,1,2,1,REDACTED
1125362,6097,8,2,2,2012-02-06 00:00:00,10,1,8,1,1,1,2,1,REDACTED
1128195,6087,23,1,1,2012-02-03 00:00:00,15,27,7,1,1,1,1,1,REDACTED
1135438,6085,13,2,2,2012-02-09 00:00:00,5,25,4,1,1,1,1,1,REDACTED
1137549,6067,15,2,2,2012-02-08 00:00:00,14,29,13,1,1,1,1,1,REDACTED
1137920,6071,4,1,1,2012-03-31 00:00:00,0,25,0,1,1,1,2,1,REDACTED
1139422,6065,4,1,1,2012-04-07 00:00:00,5,33,4,1,1,1,2,1,REDACTED
1139945,6037,3,1,1,2012-04-09 00:00:00,5,60,5,1,1,1,2,1,REDACTED
1141873,6077,24,1,1,2012-02-14 00:00:00,7,0,2,1,1,1,1,1,REDACTED
1144043,6037,3,1,1,2012-04-06 00:00:00,0,25,0,1,1,1,2,1,REDACTED
1144441,6107,22,2,2,2012-03-10 00:00:00,0,35,0,1,1,1,1,1,REDACTED
1144883,6111,3,3,2,2012-02-11 00:00:00,8,16,8,1,1,1,1,1,REDACTED
1146542,6079,25,1,1,2012-02-11 00:00:00,4,0,4,1,1,1,1,1,REDACTED
1149328,6065,4,2,2,2012-03-03 00:00:00,0,15,0,1,1,1,2,1,REDACTED
1152646,6111,3,2,2,2012-02-15 00:00:00,12,27,10,1,1,1,1,1,REDACTED
1153250,6083,25,2,2,2012-02-21 00:00:00,8,39,6,1,1,1,1,1,REDACTED
1154089,6037,3,3,2,2012-05-15 00:00:00,21,99,10,1,1,1,2,1,REDACTED
1156622,6065,4,2,2,2012-04-11 00:00:00,8,63,8,1,1,1,2,1,REDACTED
1158552,6017,15,2,2,2012-04-09 00:00:00,11,81,9,1,1,1,2,1,REDACTED
1178633,6001,5,2,2,2012-02-17 00:00:00,13,4,13,1,1,1,2,1,REDACTED
1208803,6031,22,2,2,2012-02-20 00:00:00,4,53,4,1,1,1,1,1,REDACTED
1209027,6031,22,2,2,2012-02-10 00:00:00,8,0,16,1,1,1,1,1,REDACTED
1210204,6033,21,1,1,2012-03-15 00:00:00,0,10,0,1,1,1,1,1,REDACTED
1210868,6035,17,1,1,2012-02-15 00:00:00,0,0,0,1,1,1,1,1,REDACTED
1223692,6037,3,1,1,2012-02-26 00:00:00,7,0,1,1,1,1,1,1,REDACTED
1225329,6037,3,1,1,2012-02-23 00:00:00,0,0,0,1,1,1,3,1,REDACTED
1240624,6037,3,1,1,2012-03-15 00:00:00,6,32,6,1,1,1,1,1,REDACTED
1242543,6037,3,1,1,2012-03-15 00:00:00,0,12,0,1,1,1,1,1,REDACTED
1318928,6095,10,1,1,2012-03-05 00:00:00,4,28,4,1,1,1,1,1,REDACTED
1320244,6097,8,1,1,2012-03-09 00:00:00,5,10,5,1,1,1,1,1,REDACTED
1353726,6037,3,1,1,2012-02-22 00:00:00,14,7,8,1,1,1,2,1,REDACTED
1356673,6073,14,5,3,2012-04-25 00:00:00,13,100,2,1,1,1,2,1,REDACTED
1365783,6023,20,2,2,2012-02-29 00:00:00,10,3,2,1,1,1,1,1,REDACTED
1374265,6085,13,4,3,2012-04-11 00:00:00,10,60,8,1,1,1,3,1,REDACTED
1375576,6059,2,2,2,2012-06-30 00:00:00,12,56,8,1,1,1,4,1,REDACTED
1376484,6073,14,1,1,2012-05-14 00:00:00,5,13,5,1,1,1,2,1,REDACTED
1390543,6001,5,1,1,2012-04-18 00:00:00,2,25,2,1,1,1,2,1,REDACTED
1400320,6097,8,2,2,2012-03-18 00:00:00,0,75,0,1,1,1,1,1,REDACTED
1419895,6019,22,1,1,2012-08-16 00:00:00,4,33,2,1,1,1,3,1,REDACTED
1430629,6085,13,2,2,2012-04-28 00:00:00,12,65,4,1,1,1,2,1,REDACTED
1433441,6069,23,3,3,2012-03-19 00:00:00,28,133,21,1,1,1,1,1,REDACTED
1452274,6037,3,4,3,2012-03-25 00:00:00,10,97,7,1,1,1,2,1,REDACTED
1470126,6011,27,3,3,2012-04-20 00:00:00,5,46,2,1,1,1,3,1,REDACTED
1523534,6079,25,3,3,2012-04-18 00:00:00,0,0,0,1,1,1,3,1,REDACTED
1675855,6077,24,3,3,2012-06-01 00:00:00,13,54,12,1,1,1,2,1,REDACTED
1681108,6001,5,2,2,2012-08-21 00:00:00,15,55,12,1,1,1,3,1,REDACTED
1682791,6037,3,2,2,2012-08-24 00:00:00,19,68,13,1,1,1,3,1,REDACTED
1690986,6037,3,3,3,2012-06-02 00:00:00,5,124,9,1,1,1,3,1,REDACTED
1698967,6075,11,1,1,2012-06-10 00:00:00,0,25,0,1,1,1,3,1,REDACTED
1708202,6065,4,5,3,2012-09-03 00:00:00,4,125,1,1,1,1,4,1,REDACTED
1709773,6081,12,1,1,2012-06-07 00:00:00,0,25,0,1,1,1,3,1,REDACTED
1711486,6087,23,3,2,2012-07-12 00:00:00,3,19,4,1,1,1,3,1,REDACTED
1712590,6085,13,2,2,2012-07-01 00:00:00,5,76,6,1,1,1,3,1,REDACTED
1712705,6067,15,4,3,2012-07-04 00:00:00,4,0,4,1,1,1,3,1,REDACTED
1717746,6059,2,2,2,2012-06-22 00:00:00,9,45,7,1,1,1,3,1,REDACTED
1720933,6031,22,1,1,2012-10-06 00:00:00,0,7,0,1,1,1,5,1,REDACTED
1723488,6071,4,1,1,2012-06-15 00:00:00,0,0,0,1,1,1,3,1,REDACTED
1725871,6095,10,2,2,2012-06-20 00:00:00,3,56,3,1,1,1,3,1,REDACTED
1751392,6059,2,2,2,2012-06-06 00:00:00,3,28,2,1,1,1,3,1,REDACTED
1772847,6013,6,2,2,2012-07-07 00:00:00,10,54,10,1,1,1,3,1,REDACTED
1776019,6071,4,2,2,2012-09-18 00:00:00,16,108,13,1,1,1,4,1,REDACTED
1831201,6111,3,2,2,2012-07-16 00:00:00,6,13,4,1,1,1,3,1,REDACTED
1844702,6097,8,1,1,2012-07-18 00:00:00,5,27,5,1,1,1,3,1,REDACTED
2045487,6029,22,2,2,2012-09-06 00:00:00,8,92,13,1,1,1,5,1,REDACTED
2055542,6037,3,1,1,2012-07-19 00:00:00,5,23,5,1,1,1,3,1,REDACTED
2059750,6037,3,1,1,2012-06-28 00:00:00,5,5,4,1,1,1,3,1,REDACTED
2079481,6037,3,1,1,2012-08-15 00:00:00,3,14,4,1,1,1,5,1,REDACTED
2081194,6037,3,2,1,2012-07-07 00:00:00,3,33,3,1,1,1,3,1,REDACTED
2089664,6037,3,1,1,2012-09-16 00:00:00,2,23,2,1,1,1,3,1,REDACTED
2090417,6037,3,2,2,2012-09-16 00:00:00,4,64,4,1,1,1,4,1,REDACTED
2092013,6037,3,2,1,2012-06-24 00:00:00,0,9,0,1,1,1,3,1,REDACTED
2110228,6037,3,2,2,2012-11-02 00:00:00,6,24,6,1,1,1,4,1,REDACTED
2136574,6053,23,1,1,2012-07-23 00:00:00,3,0,0,1,1,1,5,1,REDACTED
2138491,6053,23,2,2,2012-09-11 00:00:00,5,25,4,1,1,1,4,1,REDACTED
2140668,6057,16,2,2,2012-08-25 00:00:00,2,21,2,1,1,1,3,1,REDACTED
2145125,6059,2,1,1,2012-10-04 00:00:00,3,27,3,1,1,1,4,1,REDACTED
2164601,6061,15,2,1,2012-09-24 00:00:00,2,0,2,1,1,1,4,1,REDACTED
2189741,6071,4,3,3,2012-10-18 00:00:00,10,40,10,1,1,1,4,1,REDACTED
2197883,6073,14,2,2,2012-07-26 00:00:00,6,48,5,1,1,1,4,1,REDACTED
2200752,6073,14,1,1,2012-11-04 00:00:00,4,32,4,1,1,1,4,1,REDACTED
2235192,6083,25,1,1,2012-07-11 00:00:00,8,29,10,1,1,1,3,1,REDACTED
2236050,6083,25,2,1,2012-07-30 00:00:00,2,2,2,1,1,1,3,1,REDACTED
2261479,6097,8,1,1,2012-06-30 00:00:00,1,0,12,1,1,1,3,1,REDACTED
2264740,6099,24,3,3,2012-06-28 00:00:00,4,25,3,1,1,1,3,1,REDACTED
2267804,6099,24,2,2,2012-09-18 00:00:00,6,35,6,1,1,1,3,1,REDACTED
2269840,6101,15,1,1,2012-10-28 00:00:00,3,46,2,1,1,1,4,1,REDACTED
2281511,6111,3,3,3,2012-07-08 00:00:00,5,100,4,1,1,1,3,1,REDACTED
2295627,6061,15,1,1,2012-10-13 00:00:00,0,0,0,1,1,1,5,1,REDACTED
2483552,6095,10,2,1,2012-09-19 00:00:00,9,32,8,1,1,1,4,1,REDACTED
2492506,6017,15,2,2,2012-10-03 00:00:00,9,51,9,1,1,1,4,1,REDACTED
2517401,6019,22,2,2,2012-09-21 00:00:00,6,29,5,1,1,1,4,1,REDACTED
2537814,6045,21,2,2,2012-12-09 00:00:00,5,43,5,1,1,1,5,1,REDACTED
2538023,6045,21,2,1,2012-11-16 00:00:00,18,48,9,1,1,1,5,1,REDACTED
2550511,6111,3,1,1,2012-10-23 00:00:00,2,12,2,1,1,1,4,1,REDACTED
2552032,6013,6,3,3,2012-09-27 00:00:00,14,90,13,1,1,1,4,1,REDACTED
2552832,6013,6,2,2,2012-11-27 00:00:00,8,54,7,1,1,1,4,1,REDACTED
2572796,6013,6,3,3,2012-11-27 00:00:00,20,105,9,1,1,1,4,1,REDACTED
2581661,6099,24,2,2,2012-11-15 00:00:00,0,0,0,1,1,1,4,1,REDACTED
2626517,6085,13,1,1,2012-10-16 00:00:00,7,47,7,1,1,1,4,1,REDACTED
2643945,6037,3,2,2,2012-10-11 00:00:00,10,79,9,1,1,1,4,1,REDACTED
2646999,6065,4,2,2,2012-11-17 00:00:00,18,75,10,1,1,1,4,1,REDACTED
2650170,6111,3,3,3,2012-10-28 00:00:00,15,75,12,1,1,1,4,1,REDACTED
2654878,6013,6,3,3,2012-11-25 00:00:00,4,135,4,1,1,1,5,1,REDACTED
2655433,6013,6,2,2,2012-11-30 00:00:00,5,29,4,1,1,1,4,1,REDACTED
2658298,6045,21,2,2,2012-10-24 00:00:00,15,87,15,1,1,1,4,1,REDACTED
2661241,6033,21,2,2,2012-11-22 00:00:00,0,31,0,1,1,1,4,1,REDACTED
2665232,6023,20,1,1,2012-09-24 00:00:00,4,29,3,1,1,1,4,1,REDACTED
