sampno,vehno,diarytripsday1,gpstripsday1,gpstripsday2,gpstripsday3,gpstripsday4,gpstripsday5,gpstripsday6,gpstripsday7,totalgpstrips,geom
1035198,1,2,2,2,4,2,0,0,6,16,REDACTED
1035198,2,0,8,4,7,6,6,6,4,41,REDACTED
1035198,3,5,10,9,9,8,5,5,5,51,REDACTED
1037295,1,2,3,2,8,9,2,5,0,29,REDACTED
1037751,1,3,3,0,0,0,0,0,0,3,REDACTED
1044414,1,8,8,7,7,2,9,10,24,67,REDACTED
1044596,1,5,9,0,4,3,0,4,3,23,REDACTED
1044596,2,0,0,0,0,0,0,0,0,0,REDACTED
1044596,3,0,0,0,0,0,3,9,4,16,REDACTED
1051649,1,2,2,5,2,2,3,2,2,18,REDACTED
1051649,2,2,5,2,3,2,2,9,6,29,REDACTED
1051649,3,2,2,0,2,6,5,10,0,25,REDACTED
1051795,1,0,0,0,0,9,14,2,5,30,REDACTED
1051795,2,7,10,15,13,2,2,3,8,53,REDACTED
1054803,1,4,4,7,0,8,6,2,2,29,REDACTED
1054803,2,0,0,0,0,0,0,0,0,0,REDACTED
1054933,1,0,0,0,0,0,0,0,0,0,REDACTED
1057600,1,0,0,4,5,9,2,0,0,20,REDACTED
1119025,1,5,8,2,6,0,0,0,0,16,REDACTED
1119025,2,0,0,0,0,0,0,0,0,0,REDACTED
1119055,1,6,6,3,0,0,0,0,0,9,REDACTED
1119055,2,3,3,0,0,3,0,4,0,10,REDACTED
1119070,1,9,10,11,14,3,2,9,10,59,REDACTED
1119070,2,5,7,8,4,6,5,9,6,45,REDACTED
1119070,3,0,0,0,0,0,0,0,0,0,REDACTED
1119821,1,0,0,4,5,2,0,6,4,21,REDACTED
1119821,2,3,3,2,0,0,2,5,3,15,REDACTED
1119821,3,2,2,3,0,2,2,0,2,11,REDACTED
1120424,1,4,7,4,13,4,5,6,2,41,REDACTED
1120424,2,0,0,0,0,0,0,0,0,0,REDACTED
1120935,1,2,2,5,0,11,9,5,6,38,REDACTED
1120935,2,9,10,1,0,0,0,0,0,11,REDACTED
1121105,1,0,0,0,0,0,0,0,0,0,REDACTED
1121105,2,7,12,0,0,0,0,0,0,12,REDACTED
1121290,1,6,5,8,7,3,2,5,4,34,REDACTED
1121290,2,0,0,0,0,0,0,0,2,2,REDACTED
1123111,1,4,7,12,18,14,20,18,6,95,REDACTED
1123111,2,2,2,2,0,0,0,2,4,10,REDACTED
1123227,1,0,0,2,2,0,4,5,3,16,REDACTED
1123227,2,0,0,0,0,0,0,0,0,0,REDACTED
1125362,1,6,7,1,0,0,0,0,0,8,REDACTED
1125362,2,2,3,0,0,0,0,0,0,3,REDACTED
1125585,1,2,2,4,2,5,9,6,6,34,REDACTED
1125585,2,3,3,0,0,0,0,0,0,3,REDACTED
1128195,1,7,15,0,7,8,4,4,4,42,REDACTED
1128811,1,9,15,16,7,0,0,0,0,38,REDACTED
1128811,2,7,6,13,11,12,3,6,6,57,REDACTED
1129234,1,3,4,0,7,7,12,9,8,47,REDACTED
1130487,1,2,2,3,3,2,2,2,1,15,REDACTED
1130487,2,5,6,3,2,0,2,4,3,20,REDACTED
1130604,1,10,14,5,9,5,4,4,3,44,REDACTED
1131660,1,4,4,5,2,9,7,3,2,32,REDACTED
1131660,2,0,0,9,3,6,5,3,2,28,REDACTED
1132564,1,4,5,0,0,0,0,0,0,5,REDACTED
1134039,1,0,0,0,0,0,0,0,0,0,REDACTED
1134470,1,5,4,4,2,3,6,6,11,36,REDACTED
1134470,2,0,0,0,0,0,0,0,0,0,REDACTED
1134721,2,4,6,11,0,4,8,0,0,29,REDACTED
1134742,1,7,8,0,0,0,0,0,0,8,REDACTED
1134742,2,4,4,0,0,0,0,0,0,4,REDACTED
1135317,1,4,4,6,0,3,4,7,3,27,REDACTED
1135317,2,16,18,2,2,8,15,11,10,66,REDACTED
1135317,3,0,0,0,0,9,0,0,0,9,REDACTED
1135438,1,2,3,0,0,0,0,0,0,3,REDACTED
1135438,2,2,2,2,11,6,0,6,0,27,REDACTED
1135955,1,2,2,0,0,0,0,0,0,2,REDACTED
1135955,2,6,6,5,0,0,6,6,10,33,REDACTED
1137549,1,9,9,7,0,0,0,0,0,16,REDACTED
1137549,2,4,5,5,4,2,5,3,3,27,REDACTED
1137920,1,0,0,0,0,3,7,9,6,25,REDACTED
1138010,1,4,3,0,8,7,4,6,3,31,REDACTED
1138442,1,0,0,0,0,0,0,0,0,0,REDACTED
1139416,1,4,5,7,3,3,5,4,10,37,REDACTED
1139422,1,4,5,3,6,5,5,8,6,38,REDACTED
1139818,1,5,5,6,13,10,7,4,4,49,REDACTED
1139945,1,5,5,8,6,8,16,20,2,65,REDACTED
1140006,1,3,3,0,0,0,0,0,0,3,REDACTED
1140006,2,5,4,0,0,0,0,0,0,4,REDACTED
1140006,3,0,0,0,0,0,0,0,0,0,REDACTED
1140735,1,8,14,0,0,0,0,0,0,14,REDACTED
1140735,2,4,2,0,0,0,0,0,0,2,REDACTED
1140800,2,11,13,0,0,0,0,0,0,13,REDACTED
1141076,1,4,10,8,4,10,10,7,11,60,REDACTED
1141873,1,2,7,0,0,0,0,0,0,7,REDACTED
1142708,1,0,0,0,0,0,0,0,0,0,REDACTED
1142708,2,2,6,1,0,0,0,0,0,7,REDACTED
1143815,1,0,0,4,6,8,5,5,13,41,REDACTED
1143815,2,0,0,5,9,7,5,6,12,44,REDACTED
1144043,1,0,0,0,2,6,11,5,1,25,REDACTED
1144441,1,0,0,0,3,7,7,5,13,35,REDACTED
1144441,2,0,0,0,0,0,0,0,0,0,REDACTED
1144883,1,5,5,3,7,0,0,0,0,15,REDACTED
1144883,3,3,3,0,0,6,0,0,0,9,REDACTED
1146542,1,4,4,0,0,0,0,0,0,4,REDACTED
1146678,1,3,6,0,0,3,7,7,4,27,REDACTED
1146678,2,5,5,4,0,4,0,0,0,13,REDACTED
1146678,3,0,0,0,3,0,0,0,0,3,REDACTED
1147504,1,5,3,2,0,0,0,0,0,5,REDACTED
1147504,2,2,3,0,0,0,0,0,0,3,REDACTED
1147504,3,0,0,0,0,0,0,0,0,0,REDACTED
1149328,1,0,0,0,0,7,0,5,0,12,REDACTED
1149328,2,0,0,0,0,0,0,0,3,3,REDACTED
1150104,1,3,4,5,4,0,5,9,4,31,REDACTED
1150104,2,0,0,6,0,0,5,13,8,32,REDACTED
1150191,1,0,0,8,11,6,16,6,2,49,REDACTED
1150191,2,12,10,15,16,12,12,6,12,83,REDACTED
1151151,1,0,0,0,0,0,0,0,0,0,REDACTED
1151384,1,3,5,0,0,0,0,0,0,5,REDACTED
1151384,2,4,7,0,0,0,0,0,0,7,REDACTED
1151498,1,4,4,13,11,0,4,0,0,32,REDACTED
1151498,2,9,10,11,11,5,11,20,5,73,REDACTED
1151794,1,0,0,9,5,4,9,6,5,38,REDACTED
1151794,2,0,0,0,0,0,0,0,0,0,REDACTED
1152022,1,4,4,0,0,0,0,0,0,4,REDACTED
1152022,2,6,5,0,0,0,0,0,0,5,REDACTED
1152646,1,5,6,2,5,2,2,2,2,21,REDACTED
1152646,2,5,6,4,0,2,0,0,6,18,REDACTED
1153250,1,6,8,7,5,4,6,4,13,47,REDACTED
1153250,2,0,0,0,0,0,0,0,0,0,REDACTED
1153377,1,0,0,0,6,1,0,0,0,7,REDACTED
1154089,1,5,14,8,15,15,0,18,15,85,REDACTED
1154089,3,5,7,9,7,10,0,0,2,35,REDACTED
1155144,1,6,15,14,8,12,9,5,6,69,REDACTED
1155158,1,10,8,10,8,0,0,0,0,26,REDACTED
1155158,2,2,1,5,0,0,0,0,0,6,REDACTED
1156622,1,6,6,2,12,2,0,8,11,41,REDACTED
1156622,2,2,2,8,7,11,0,0,2,30,REDACTED
1156732,1,2,2,5,3,0,0,0,0,10,REDACTED
1156732,2,8,10,16,3,7,8,0,8,52,REDACTED
1157183,1,12,0,0,0,0,0,0,0,0,REDACTED
1157183,2,2,3,0,0,0,0,0,0,3,REDACTED
1157183,3,10,14,0,0,0,0,0,0,14,REDACTED
1158232,1,3,4,2,3,0,4,4,5,22,REDACTED
1158232,2,2,2,2,0,0,0,2,0,6,REDACTED
1158552,1,6,8,6,11,6,8,2,8,49,REDACTED
1158552,2,3,3,6,9,8,6,11,0,43,REDACTED
1158632,1,4,3,5,5,7,5,12,7,44,REDACTED
1158632,2,0,0,3,2,0,0,9,0,14,REDACTED
1158632,3,6,6,11,7,1,7,0,0,32,REDACTED
1158877,1,3,6,6,4,2,0,0,0,18,REDACTED
1158877,2,0,0,0,0,1,2,6,4,13,REDACTED
1158941,1,0,12,11,0,0,0,0,0,23,REDACTED
1158941,2,8,0,2,4,0,9,2,4,21,REDACTED
1158941,3,0,0,0,0,0,0,0,0,0,REDACTED
1159003,1,12,13,16,6,4,7,14,11,71,REDACTED
1178633,1,4,4,0,0,0,0,0,0,4,REDACTED
1178633,2,9,9,0,0,4,0,0,0,13,REDACTED
1179644,1,2,2,6,0,0,0,0,0,8,REDACTED
1186814,1,6,7,0,5,0,2,3,0,17,REDACTED
1186814,2,0,0,5,0,2,0,0,0,7,REDACTED
1190101,1,5,3,0,0,0,0,0,0,3,REDACTED
1190101,2,2,0,0,0,0,0,0,0,0,REDACTED
1190101,3,0,0,0,0,0,0,0,0,0,REDACTED
1196563,1,6,1,4,0,0,0,0,0,5,REDACTED
1207379,1,7,3,0,0,0,0,0,0,3,REDACTED
1207379,2,0,0,0,2,0,0,0,0,2,REDACTED
1208803,1,4,4,0,0,7,7,4,0,22,REDACTED
1208803,2,0,0,6,5,10,9,0,5,35,REDACTED
1209027,1,10,6,0,0,0,0,0,0,6,REDACTED
1209027,2,6,2,0,0,0,0,0,0,2,REDACTED
1210204,1,0,0,0,5,4,0,0,1,10,REDACTED
1210868,1,0,0,0,0,0,0,0,0,0,REDACTED
1223692,1,1,7,0,0,0,0,0,0,7,REDACTED
1224932,1,0,0,4,4,8,6,7,6,35,REDACTED
1224932,2,0,0,2,5,3,4,6,0,20,REDACTED
1225329,1,0,0,0,0,0,0,0,0,0,REDACTED
1234336,1,7,7,8,0,0,0,0,0,15,REDACTED
1234336,2,5,5,0,0,0,0,0,0,5,REDACTED
1235282,1,2,2,3,2,4,2,0,1,14,REDACTED
1235282,2,2,2,0,2,0,2,2,4,12,REDACTED
1236363,1,2,2,2,0,0,0,4,3,11,REDACTED
1236363,2,8,1,9,4,8,4,5,4,35,REDACTED
1240624,1,6,6,5,5,8,5,3,6,38,REDACTED
1242543,1,0,0,2,0,2,3,3,2,12,REDACTED
1256261,1,6,5,6,5,0,0,0,0,16,REDACTED
1256261,2,0,0,7,0,6,0,0,0,13,REDACTED
1260457,1,0,0,8,0,5,0,0,0,13,REDACTED
1260457,2,4,5,0,0,18,13,12,12,60,REDACTED
1260457,3,0,0,0,0,0,0,0,0,0,REDACTED
1264399,1,2,2,8,2,0,0,0,0,12,REDACTED
1264399,2,6,6,0,0,0,0,0,0,6,REDACTED
1264982,1,3,4,3,5,6,4,5,9,36,REDACTED
1264982,2,0,0,3,0,0,0,0,0,3,REDACTED
1282541,1,4,5,6,3,3,8,4,6,35,REDACTED
1290034,1,8,8,5,7,7,10,6,0,43,REDACTED
1290034,2,0,0,3,3,3,6,7,2,24,REDACTED
1295325,1,9,10,3,0,0,0,0,0,13,REDACTED
1302642,1,0,0,2,2,5,1,2,2,14,REDACTED
1309284,1,6,7,5,0,0,0,0,0,12,REDACTED
1318928,1,4,4,4,6,4,9,2,3,32,REDACTED
1319784,1,2,2,11,7,3,4,4,6,37,REDACTED
1319784,2,0,0,0,0,0,3,0,2,5,REDACTED
1319784,3,3,3,0,0,0,0,0,0,3,REDACTED
1320244,1,5,5,2,6,2,0,0,0,15,REDACTED
1321768,1,10,9,2,5,23,10,11,11,71,REDACTED
1325736,1,6,6,5,6,0,0,3,2,22,REDACTED
1330361,1,2,4,0,0,0,0,0,0,4,REDACTED
1330361,2,0,0,0,0,0,0,0,0,0,REDACTED
1333141,1,2,2,6,3,3,8,6,11,39,REDACTED
1339275,1,6,8,9,7,6,8,6,8,52,REDACTED
1346841,1,2,2,8,6,9,4,2,0,31,REDACTED
1346841,2,0,0,16,13,14,13,3,3,62,REDACTED
1353726,1,8,14,7,0,0,0,0,0,21,REDACTED
1354121,1,0,0,0,0,0,0,16,8,24,REDACTED
1356673,1,0,0,8,4,14,7,3,5,41,REDACTED
1356673,2,0,0,0,0,0,0,0,0,0,REDACTED
1356673,3,2,13,10,15,0,0,12,22,72,REDACTED
1365783,1,2,10,3,0,0,0,0,0,13,REDACTED
1365783,2,0,0,0,0,0,0,0,0,0,REDACTED
1374265,1,6,9,13,17,9,2,7,10,67,REDACTED
1374265,2,2,1,2,0,0,0,0,0,3,REDACTED
1374265,3,0,0,0,0,0,0,0,0,0,REDACTED
1375576,1,6,10,4,9,8,2,8,7,48,REDACTED
1375576,2,2,2,3,0,2,8,0,5,20,REDACTED
1376484,1,5,5,3,4,3,2,0,1,18,REDACTED
1387013,1,9,11,0,0,0,0,0,0,11,REDACTED
1387013,2,3,2,0,0,0,0,0,0,2,REDACTED
1390363,1,5,6,0,0,0,0,0,0,6,REDACTED
1390363,2,0,0,0,0,0,0,0,0,0,REDACTED
1390363,3,0,0,0,0,0,0,0,0,0,REDACTED
1390543,1,2,2,2,8,5,0,4,6,27,REDACTED
1400320,1,0,0,13,10,9,6,0,4,42,REDACTED
1400320,2,0,0,6,2,5,2,6,12,33,REDACTED
1402529,1,0,0,7,5,6,8,3,8,37,REDACTED
1402529,2,1,2,7,17,9,0,7,0,42,REDACTED
1407588,1,2,2,10,0,12,7,4,6,41,REDACTED
1407588,2,0,0,4,5,0,0,0,0,9,REDACTED
1411889,1,0,0,5,3,4,7,7,2,28,REDACTED
1411889,2,9,10,9,6,8,8,6,7,54,REDACTED
1411889,3,1,1,1,2,2,6,2,2,16,REDACTED
1419895,1,2,4,7,4,0,7,9,6,37,REDACTED
1430629,1,0,0,13,4,4,2,8,7,38,REDACTED
1430629,2,4,12,0,3,6,8,7,3,39,REDACTED
1433441,1,4,5,7,5,7,10,3,5,42,REDACTED
1433441,2,13,17,19,14,23,10,0,0,83,REDACTED
1433441,3,4,6,4,7,10,3,3,3,36,REDACTED
1437535,1,3,4,5,10,8,5,6,15,53,REDACTED
1437535,2,4,4,7,8,0,0,2,0,21,REDACTED
1437575,1,0,0,0,0,0,0,0,0,0,REDACTED
1437575,2,0,0,3,3,4,3,0,2,15,REDACTED
1442488,1,3,3,0,0,0,0,0,0,3,REDACTED
1442488,2,0,0,0,2,0,0,0,0,2,REDACTED
1452274,1,0,0,6,3,4,14,12,0,39,REDACTED
1452274,2,3,6,4,8,15,1,0,0,34,REDACTED
1452274,3,4,4,6,10,1,10,1,2,34,REDACTED
1454465,1,4,4,4,0,0,2,2,2,14,REDACTED
1458064,1,2,2,0,4,0,3,1,2,12,REDACTED
1458064,2,0,0,0,0,0,4,2,0,6,REDACTED
1466133,2,0,6,5,4,7,9,5,0,36,REDACTED
1470126,1,0,0,9,0,0,0,0,7,16,REDACTED
1470126,2,0,3,4,0,0,0,0,0,7,REDACTED
1470126,3,2,2,0,3,15,4,4,0,28,REDACTED
1480542,1,0,0,0,0,0,0,0,0,0,REDACTED
1480542,2,0,0,0,0,0,0,0,0,0,REDACTED
1502994,1,9,4,0,0,8,0,0,0,12,REDACTED
1502994,3,2,4,5,0,0,0,0,0,9,REDACTED
1521424,1,0,0,7,0,2,2,2,4,17,REDACTED
1523534,1,0,0,0,0,0,0,0,0,0,REDACTED
1523534,2,0,0,0,0,0,0,0,0,0,REDACTED
1523534,3,0,0,0,0,0,0,0,0,0,REDACTED
1532601,1,5,6,13,7,8,5,9,11,59,REDACTED
1532601,2,0,0,5,7,11,15,10,2,50,REDACTED
1675855,1,5,5,0,3,4,0,0,5,17,REDACTED
1675855,2,2,2,3,0,0,4,4,2,15,REDACTED
1675855,3,5,6,4,3,9,7,4,2,35,REDACTED
1677168,1,7,8,0,0,0,0,0,0,8,REDACTED
1677168,2,0,6,0,0,0,0,0,0,6,REDACTED
1680806,1,4,3,0,0,0,4,0,0,7,REDACTED
1680876,1,9,9,10,6,0,0,16,7,48,REDACTED
1680876,2,9,11,7,9,2,4,5,6,44,REDACTED
1680876,3,3,7,8,1,0,0,0,0,16,REDACTED
1681108,1,5,5,3,6,2,3,4,7,30,REDACTED
1681108,2,7,10,6,6,5,5,4,4,40,REDACTED
1682285,1,0,0,0,6,0,3,0,3,12,REDACTED
1682456,1,0,0,1,6,5,8,7,1,28,REDACTED
1682456,2,0,0,7,14,16,4,13,11,65,REDACTED
1682791,1,3,3,0,2,3,6,5,5,24,REDACTED
1682791,2,10,16,10,5,2,14,11,5,63,REDACTED
1687233,1,3,3,9,8,2,2,3,4,31,REDACTED
1687233,2,0,0,0,0,0,0,0,0,0,REDACTED
1690986,1,9,5,8,10,2,9,9,15,58,REDACTED
1690986,2,0,0,9,3,7,6,4,6,35,REDACTED
1690986,3,0,0,4,11,5,10,5,1,36,REDACTED
1693087,1,6,6,0,5,0,7,4,5,27,REDACTED
1693087,2,0,0,3,0,0,3,0,2,8,REDACTED
1697721,1,7,0,0,0,0,0,12,5,17,REDACTED
1697721,2,0,0,0,0,0,0,0,0,0,REDACTED
1697721,3,0,0,0,0,0,0,0,0,0,REDACTED
1698967,1,0,0,4,4,5,4,5,3,25,REDACTED
1699031,1,5,5,8,0,0,0,0,0,13,REDACTED
1699031,2,3,3,0,0,0,1,2,0,6,REDACTED
1699793,1,15,17,0,0,0,13,0,1,31,REDACTED
1699793,2,2,2,5,0,0,4,2,12,25,REDACTED
1702618,1,4,4,5,4,4,7,4,5,33,REDACTED
1707867,1,12,13,10,9,7,6,7,8,60,REDACTED
1708202,1,0,0,21,9,12,12,9,0,63,REDACTED
1708202,2,0,0,6,13,3,5,0,2,29,REDACTED
1708202,3,1,4,7,0,7,5,9,5,37,REDACTED
1709773,1,0,0,7,11,3,0,4,0,25,REDACTED
1710984,1,0,0,0,0,0,0,0,0,0,REDACTED
1710984,2,0,0,0,0,0,0,0,0,0,REDACTED
1710984,3,0,2,0,0,0,0,0,0,2,REDACTED
1711486,1,3,2,0,0,1,0,0,8,11,REDACTED
1711486,2,1,1,0,0,2,0,8,0,11,REDACTED
1712590,1,4,3,6,6,7,7,9,9,47,REDACTED
1712590,2,2,2,2,2,2,11,8,7,34,REDACTED
1712705,1,0,0,0,0,0,0,0,0,0,REDACTED
1712705,2,4,4,0,0,0,0,0,0,4,REDACTED
1712705,3,0,0,0,0,0,0,0,0,0,REDACTED
1717746,1,0,0,4,2,3,3,2,0,14,REDACTED
1717746,2,7,9,6,2,9,5,6,3,40,REDACTED
1718977,1,9,9,13,14,5,6,9,6,62,REDACTED
1718977,2,6,5,2,6,5,4,2,4,28,REDACTED
1720933,1,0,0,0,0,0,0,0,7,7,REDACTED
1722424,1,0,0,0,4,0,2,2,2,10,REDACTED
1723488,1,0,0,0,0,0,0,0,0,0,REDACTED
1725871,1,3,3,3,17,13,0,4,6,46,REDACTED
1725871,2,0,0,7,0,2,2,2,0,13,REDACTED
1726361,1,3,4,3,0,0,0,0,0,7,REDACTED
1726361,2,0,0,0,0,0,0,0,0,0,REDACTED
1726782,3,6,5,0,0,4,5,5,7,26,REDACTED
1726782,4,3,4,0,3,6,4,10,0,27,REDACTED
1729827,1,0,8,0,13,8,0,0,0,29,REDACTED
1729827,2,0,0,0,0,0,0,0,0,0,REDACTED
1729827,3,3,8,9,0,0,0,0,1,18,REDACTED
1730973,2,0,0,6,4,2,6,8,9,35,REDACTED
1735179,1,3,3,6,6,5,16,2,6,44,REDACTED
1735179,2,0,0,0,2,4,3,3,4,16,REDACTED
1738720,1,0,0,0,0,0,0,0,0,0,REDACTED
1738720,2,0,0,0,0,0,0,0,0,0,REDACTED
1740787,1,0,0,0,0,0,0,0,0,0,REDACTED
1742095,1,6,6,15,9,7,8,3,8,56,REDACTED
1742095,2,2,6,3,2,2,6,4,7,30,REDACTED
1743264,1,4,8,3,2,7,1,5,3,29,REDACTED
1743264,2,0,0,0,0,0,0,0,0,0,REDACTED
1743805,1,2,2,7,6,4,2,5,5,31,REDACTED
1746498,1,2,2,3,9,5,5,3,3,30,REDACTED
1746498,2,0,0,0,0,3,3,3,2,11,REDACTED
1747105,1,2,1,3,4,8,0,6,3,25,REDACTED
1747105,2,0,0,0,0,0,0,0,0,0,REDACTED
1751392,1,2,3,2,3,3,0,5,3,19,REDACTED
1751392,2,0,0,0,5,3,4,0,0,12,REDACTED
1757501,1,4,4,16,2,1,7,7,13,50,REDACTED
1757501,2,5,13,2,6,9,16,20,18,84,REDACTED
1763198,1,6,6,12,5,5,5,7,5,45,REDACTED
1764495,1,7,7,9,11,11,17,4,10,69,REDACTED
1766425,2,0,0,0,0,0,0,0,0,0,REDACTED
1768608,1,2,2,0,0,0,0,0,0,2,REDACTED
1768608,2,5,5,5,0,0,0,0,0,10,REDACTED
1771038,1,0,0,0,0,2,2,2,9,15,REDACTED
1771038,2,0,0,7,13,8,2,15,6,51,REDACTED
1771163,1,12,17,8,4,8,8,3,3,51,REDACTED
1771163,2,10,34,0,0,0,0,0,0,34,REDACTED
1771163,3,0,4,8,8,3,7,6,5,41,REDACTED
1772847,1,5,5,0,4,7,10,7,0,33,REDACTED
1772847,2,5,5,6,3,5,4,3,5,31,REDACTED
1773708,1,5,5,4,4,3,5,4,3,28,REDACTED
1775272,1,6,7,4,13,8,17,16,11,76,REDACTED
1775272,2,0,0,4,7,0,2,8,5,26,REDACTED
1775272,3,0,1,3,16,7,8,2,0,37,REDACTED
1776019,1,11,14,18,17,14,5,6,16,90,REDACTED
1776019,2,2,2,9,0,5,6,4,8,34,REDACTED
1817256,1,4,5,0,2,1,9,4,1,22,REDACTED
1817256,2,0,0,0,0,0,0,0,0,0,REDACTED
1831201,1,4,6,1,0,0,0,0,0,7,REDACTED
1831201,2,0,0,4,3,3,2,0,0,12,REDACTED
1843302,1,5,6,5,15,2,0,6,0,34,REDACTED
1843302,2,7,8,4,8,0,2,3,4,29,REDACTED
1843677,1,0,0,0,0,0,0,0,0,0,REDACTED
1843677,2,3,3,3,6,0,0,0,0,12,REDACTED
1844702,1,5,5,7,1,3,4,4,8,32,REDACTED
1856374,1,4,4,8,5,2,3,3,2,27,REDACTED
1856374,2,2,2,4,0,6,0,2,6,20,REDACTED
1856374,3,2,2,0,2,2,2,4,2,14,REDACTED
1898041,1,5,11,0,0,0,0,0,0,11,REDACTED
1898041,2,3,6,5,0,2,2,7,2,24,REDACTED
1898041,3,5,7,6,15,11,3,4,13,59,REDACTED
1909198,1,9,9,11,7,14,13,0,0,54,REDACTED
1909198,2,5,7,9,3,7,10,3,0,39,REDACTED
1909198,3,0,0,0,0,0,0,10,4,14,REDACTED
1976414,1,5,5,1,3,3,4,11,3,30,REDACTED
1976414,2,2,2,4,6,0,0,0,0,12,REDACTED
1987680,1,4,4,4,11,9,10,0,8,46,REDACTED
1987680,2,5,5,0,4,0,5,3,5,22,REDACTED
1987680,3,1,1,0,0,0,1,10,3,15,REDACTED
2016749,1,4,4,1,0,0,0,0,0,5,REDACTED
