sampno,vehno,diarytripsday1,gpstripsday1,gpstripsday2,gpstripsday3,gpstripsday4,gpstripsday5,gpstripsday6,gpstripsday7,totalgpstrips,geom
2016749,2,0,0,2,3,5,9,0,2,21,REDACTED
2016749,3,0,0,0,0,0,0,0,9,9,REDACTED
2017211,1,0,0,3,9,4,0,0,0,16,REDACTED
2022086,1,4,5,4,2,2,0,5,2,20,REDACTED
2045487,1,4,2,10,11,6,8,9,14,60,REDACTED
2045487,2,9,6,13,0,0,6,7,8,40,REDACTED
2045730,1,11,11,5,6,5,6,14,6,53,REDACTED
2045730,2,4,4,2,0,0,7,2,0,15,REDACTED
2045730,3,2,1,0,0,0,0,0,0,1,REDACTED
2046304,2,2,2,0,0,0,1,2,0,5,REDACTED
2052046,1,3,3,2,3,2,0,0,0,10,REDACTED
2052046,2,5,8,1,1,5,12,0,0,27,REDACTED
2055542,1,5,5,3,3,0,2,8,7,28,REDACTED
2059750,1,4,5,5,0,0,0,0,0,10,REDACTED
2060835,1,0,0,3,4,6,7,0,0,20,REDACTED
2061644,1,2,2,2,2,3,5,2,2,18,REDACTED
2061644,2,2,4,4,8,3,7,3,6,35,REDACTED
2065077,1,2,1,3,2,3,3,1,6,19,REDACTED
2067735,1,2,1,9,14,7,7,11,2,51,REDACTED
2076915,1,4,6,3,0,0,0,0,0,9,REDACTED
2076915,2,6,8,7,0,0,0,0,0,15,REDACTED
2077038,1,2,2,5,2,0,0,0,0,9,REDACTED
2079481,1,4,3,4,2,6,0,2,0,17,REDACTED
2079870,1,0,0,2,2,3,2,2,0,11,REDACTED
2081194,1,3,3,16,0,0,0,9,8,36,REDACTED
2087385,1,3,4,4,11,4,0,0,0,23,REDACTED
2089020,1,2,2,0,0,5,5,0,0,12,REDACTED
2089020,2,0,0,0,3,2,2,2,3,12,REDACTED
2089020,3,0,0,0,5,4,8,4,2,23,REDACTED
2089664,1,2,2,3,4,3,3,4,6,25,REDACTED
2090417,1,0,0,3,9,5,4,5,6,32,REDACTED
2090417,2,4,4,7,2,5,5,9,4,36,REDACTED
2091575,1,0,0,3,2,2,4,2,0,13,REDACTED
2091575,2,0,0,3,4,0,0,11,0,18,REDACTED
2092013,1,0,0,0,0,2,3,4,0,9,REDACTED
2093623,1,2,3,10,9,2,1,7,9,41,REDACTED
2093623,2,4,4,2,2,0,0,2,2,12,REDACTED
2093665,1,4,4,0,3,4,0,11,2,24,REDACTED
2094759,1,6,6,2,2,10,7,16,4,47,REDACTED
2094759,2,2,2,0,2,6,0,0,0,10,REDACTED
2097623,1,6,5,3,0,0,8,0,0,16,REDACTED
2097623,2,0,0,0,6,0,0,0,3,9,REDACTED
2102763,1,12,16,0,0,0,0,0,0,16,REDACTED
2102763,2,0,0,3,2,2,2,6,8,23,REDACTED
2103754,1,4,3,4,2,1,0,0,0,10,REDACTED
2103754,2,5,10,4,8,13,12,17,22,86,REDACTED
2105161,1,2,2,0,8,6,4,2,5,27,REDACTED
2109168,1,0,0,1,0,0,0,0,0,1,REDACTED
2110228,1,6,6,2,3,4,2,5,7,29,REDACTED
2110228,2,0,0,0,0,0,1,0,0,1,REDACTED
2111735,1,2,2,5,0,3,0,3,5,18,REDACTED
2111735,2,2,2,3,7,4,7,5,5,33,REDACTED
2112938,1,0,0,5,13,16,13,9,11,67,REDACTED
2113763,1,1,2,3,2,0,5,0,2,14,REDACTED
2115522,1,7,11,2,5,13,1,10,10,52,REDACTED
2118071,1,0,0,0,5,3,4,4,4,20,REDACTED
2118071,2,8,8,5,3,0,0,0,1,17,REDACTED
2118071,3,6,6,5,0,0,4,0,3,18,REDACTED
2124189,1,0,0,0,0,0,0,0,0,0,REDACTED
2124189,2,3,3,8,0,0,3,0,9,23,REDACTED
2131756,1,0,0,2,4,4,3,2,6,21,REDACTED
2131756,2,0,0,0,2,0,2,8,2,14,REDACTED
2136574,1,0,3,0,0,0,0,0,0,3,REDACTED
2138491,1,2,2,2,2,4,2,0,2,14,REDACTED
2138491,2,2,3,0,0,2,5,6,0,16,REDACTED
2140668,1,2,2,0,3,8,0,0,10,23,REDACTED
2140668,2,0,0,0,0,0,0,0,0,0,REDACTED
2142467,1,2,2,2,4,4,9,2,4,27,REDACTED
2142467,2,8,8,11,0,7,9,0,0,35,REDACTED
2142774,1,7,7,15,10,8,4,3,10,57,REDACTED
2143135,1,7,7,7,12,5,8,4,0,43,REDACTED
2143234,1,0,0,6,4,3,2,4,4,23,REDACTED
2143234,2,2,2,7,11,10,13,4,4,51,REDACTED
2145125,1,3,3,12,0,7,2,4,2,30,REDACTED
2158234,1,7,7,9,8,7,8,8,8,55,REDACTED
2160062,1,5,5,20,15,11,10,5,6,72,REDACTED
2160062,2,0,0,0,0,0,0,7,0,7,REDACTED
2160062,3,2,2,0,0,0,0,0,2,4,REDACTED
2164601,2,2,2,0,0,0,0,0,0,2,REDACTED
2169564,1,7,12,6,6,6,7,12,7,56,REDACTED
2171118,1,5,5,3,4,3,4,3,4,26,REDACTED
2171118,2,3,4,4,9,9,6,5,12,49,REDACTED
2172179,1,4,4,7,10,7,0,3,6,37,REDACTED
2172179,2,13,13,19,12,9,9,7,13,82,REDACTED
2173648,1,5,6,14,9,12,4,15,14,74,REDACTED
2174068,1,4,8,12,13,25,27,19,23,127,REDACTED
2174068,2,6,7,2,7,0,10,0,0,26,REDACTED
2175988,1,2,2,0,2,0,3,6,0,13,REDACTED
2177861,1,3,3,7,3,10,5,9,13,50,REDACTED
2179333,1,0,0,2,3,5,3,2,3,18,REDACTED
2179333,2,4,4,4,3,5,3,6,3,28,REDACTED
2183489,1,16,16,3,15,6,15,3,5,63,REDACTED
2183489,2,0,0,0,0,0,0,0,0,0,REDACTED
2183999,1,6,6,5,2,8,11,3,3,38,REDACTED
2183999,2,2,3,0,7,4,6,2,6,28,REDACTED
2189741,1,6,6,5,4,0,4,4,2,25,REDACTED
2189741,2,4,4,0,0,0,0,0,0,4,REDACTED
2189741,3,0,0,0,0,21,0,0,0,21,REDACTED
2192767,1,0,0,0,0,0,0,0,0,0,REDACTED
2194348,1,4,4,6,5,14,6,10,5,50,REDACTED
2194710,1,12,14,11,3,5,6,3,2,44,REDACTED
2194710,2,4,4,5,0,0,5,9,5,28,REDACTED
2194710,3,6,10,12,3,4,5,5,6,45,REDACTED
2195394,1,3,3,0,2,8,3,2,0,18,REDACTED
2195580,1,9,9,10,9,14,9,9,7,67,REDACTED
2195942,1,4,5,4,7,4,2,11,6,39,REDACTED
2195942,2,2,2,4,5,3,2,2,0,18,REDACTED
2197883,1,3,2,11,0,0,0,0,0,13,REDACTED
2197883,2,2,4,6,14,6,4,2,5,41,REDACTED
2199289,1,5,9,3,3,0,1,5,4,25,REDACTED
2199289,2,0,0,3,0,4,4,3,2,16,REDACTED
2199501,1,0,0,0,2,3,0,0,0,5,REDACTED
2199501,2,0,0,2,0,0,0,0,0,2,REDACTED
2200752,1,4,4,4,5,3,3,4,13,36,REDACTED
2201952,1,0,0,2,4,12,4,7,1,30,REDACTED
2203100,1,2,3,2,2,0,6,2,3,18,REDACTED
2203100,2,3,3,2,3,0,0,3,2,13,REDACTED
2206467,1,7,8,0,0,0,0,0,0,8,REDACTED
2215330,1,7,8,2,4,2,4,4,2,26,REDACTED
2215330,2,2,2,5,6,3,5,3,0,24,REDACTED
2215330,3,2,2,5,4,3,7,7,3,31,REDACTED
2217304,1,2,3,4,2,5,0,9,0,23,REDACTED
2218485,1,9,8,8,2,7,5,2,0,32,REDACTED
2218485,2,4,4,0,0,0,0,0,0,4,REDACTED
2218485,4,0,1,5,7,2,0,2,0,17,REDACTED
2225855,1,6,7,3,2,7,6,6,2,33,REDACTED
2233056,1,2,2,2,0,0,6,0,0,10,REDACTED
2233056,2,10,10,5,11,2,6,6,4,44,REDACTED
2235192,1,10,8,7,2,3,5,5,7,37,REDACTED
2236050,1,2,2,2,0,0,0,0,0,4,REDACTED
2236330,1,0,0,0,0,0,0,0,0,0,REDACTED
2236330,2,0,0,7,12,6,8,3,0,36,REDACTED
2236435,1,2,3,2,0,2,2,0,0,9,REDACTED
2236435,2,7,7,9,2,8,7,4,4,41,REDACTED
2239007,1,5,5,6,6,5,0,0,0,22,REDACTED
2239382,1,7,9,0,0,0,0,0,3,12,REDACTED
2246360,1,4,4,6,0,2,0,0,5,17,REDACTED
2246360,2,0,5,2,6,3,7,5,0,28,REDACTED
2246360,3,4,4,0,5,10,4,7,6,36,REDACTED
2246809,1,2,2,3,4,6,3,5,4,27,REDACTED
2246809,2,0,0,0,0,0,0,0,0,0,REDACTED
2248993,1,3,3,7,8,8,6,4,5,41,REDACTED
2252043,1,0,0,0,0,8,6,3,11,28,REDACTED
2253040,2,0,0,4,4,3,3,4,6,24,REDACTED
2253778,1,5,4,9,0,0,4,5,6,28,REDACTED
2253778,2,0,0,0,0,0,0,0,0,0,REDACTED
2253778,3,5,5,0,0,0,0,0,0,5,REDACTED
2255433,1,0,0,0,0,0,0,0,0,0,REDACTED
2255433,2,0,0,0,0,0,0,0,0,0,REDACTED
2255433,3,2,0,0,0,0,0,0,0,0,REDACTED
2259514,1,2,3,8,2,2,3,3,2,23,REDACTED
2259514,2,0,0,3,5,3,6,6,3,26,REDACTED
2261479,1,12,1,0,0,0,0,0,0,1,REDACTED
2264740,1,3,4,6,13,6,0,0,0,29,REDACTED
2264740,2,0,0,0,0,0,0,0,0,0,REDACTED
2264740,3,0,0,0,0,0,0,0,0,0,REDACTED
2264830,1,6,4,7,12,2,10,13,4,52,REDACTED
2264830,2,4,4,0,0,0,0,4,7,15,REDACTED
2264830,3,2,1,0,0,0,6,1,1,9,REDACTED
2266571,1,6,7,1,2,2,0,0,4,16,REDACTED
2266571,2,0,0,0,0,0,0,0,0,0,REDACTED
2267338,1,0,0,4,4,4,24,7,0,43,REDACTED
2267338,2,0,0,2,4,0,11,9,12,38,REDACTED
2267804,1,4,4,2,4,2,2,0,4,18,REDACTED
2267804,2,2,2,2,4,4,2,7,2,23,REDACTED
2268045,1,5,5,4,5,7,2,2,5,30,REDACTED
2268045,2,2,2,0,0,0,0,0,0,2,REDACTED
2269840,1,2,3,14,4,1,9,7,11,49,REDACTED
2281511,1,4,5,9,4,3,7,7,0,35,REDACTED
2281511,2,0,0,6,13,6,8,12,5,50,REDACTED
2281511,3,0,0,0,4,6,3,2,5,20,REDACTED
2291208,1,6,10,16,9,14,16,8,15,88,REDACTED
2291208,2,6,6,6,4,3,6,6,11,42,REDACTED
2295627,1,0,0,0,0,0,0,0,0,0,REDACTED
2483552,1,8,9,4,2,15,2,3,6,41,REDACTED
2487482,1,7,6,0,0,6,0,2,5,19,REDACTED
2487482,2,4,4,4,9,8,17,7,6,55,REDACTED
2492506,1,5,5,4,2,14,6,2,3,36,REDACTED
2492506,2,4,4,4,4,4,0,4,4,24,REDACTED
2496311,1,4,4,4,5,5,3,5,8,34,REDACTED
2496311,2,2,2,0,3,2,0,7,0,14,REDACTED
2496311,3,0,1,2,5,8,4,9,5,34,REDACTED
2498788,1,4,3,14,15,3,8,4,17,64,REDACTED
2500911,1,2,2,2,5,3,2,9,9,32,REDACTED
2500911,2,0,0,0,0,0,0,0,0,0,REDACTED
2510248,1,4,6,0,6,2,5,4,2,25,REDACTED
2510248,2,4,4,14,10,10,9,12,7,66,REDACTED
2513557,1,0,0,0,6,2,4,8,6,26,REDACTED
2513557,2,2,2,2,4,8,2,3,2,23,REDACTED
2514178,1,3,3,0,6,3,0,4,7,23,REDACTED
2514178,2,4,4,0,0,4,1,0,0,9,REDACTED
2517401,1,2,2,7,2,2,2,6,4,25,REDACTED
2517401,2,3,4,2,4,0,0,0,0,10,REDACTED
2518082,1,0,0,4,2,2,4,3,0,15,REDACTED
2518082,2,0,0,0,0,0,0,0,0,0,REDACTED
2518996,1,3,3,0,0,10,0,0,0,13,REDACTED
2518996,2,11,11,5,10,3,0,0,11,40,REDACTED
2518996,3,0,0,3,4,0,13,7,4,31,REDACTED
2525166,1,0,0,0,0,0,2,2,2,6,REDACTED
2525166,2,4,5,5,9,5,2,8,6,40,REDACTED
2525166,3,0,0,6,2,9,10,11,8,46,REDACTED
2526824,1,4,11,16,0,6,13,15,17,78,REDACTED
2526824,2,2,5,6,3,3,3,4,3,27,REDACTED
2527373,1,3,34,9,0,10,13,10,16,92,REDACTED
2527998,1,6,0,0,0,0,0,0,0,0,REDACTED
2527998,2,8,10,6,11,11,2,6,5,51,REDACTED
2527998,3,0,0,0,0,0,0,0,0,0,REDACTED
2537814,1,5,5,8,6,9,8,7,5,48,REDACTED
2537814,2,0,0,0,0,0,0,0,0,0,REDACTED
2538023,1,9,18,10,4,14,12,8,0,66,REDACTED
2550511,1,2,2,0,2,2,3,3,2,14,REDACTED
2552032,1,4,4,5,4,4,15,4,4,40,REDACTED
2552032,2,4,5,3,9,8,12,2,14,53,REDACTED
2552032,3,5,5,0,0,0,0,6,0,11,REDACTED
2552758,1,4,8,16,8,7,10,6,10,65,REDACTED
2552758,2,2,2,3,0,1,0,0,2,8,REDACTED
2552832,1,0,0,0,0,0,3,0,0,3,REDACTED
2552832,2,7,8,6,8,14,2,2,19,59,REDACTED
2555550,1,6,6,5,2,0,0,2,2,17,REDACTED
2555550,2,2,3,2,2,4,2,2,0,15,REDACTED
2556033,1,3,4,4,6,5,3,6,4,32,REDACTED
2556033,2,5,4,3,0,8,9,3,3,30,REDACTED
2557083,1,9,8,5,9,6,12,7,10,57,REDACTED
2561298,1,7,10,4,5,4,7,5,10,45,REDACTED
2562300,1,5,5,5,8,10,7,5,7,47,REDACTED
2564708,1,4,4,0,4,2,12,2,5,29,REDACTED
2569231,1,2,2,2,3,1,2,0,0,10,REDACTED
2569231,2,6,6,9,16,13,7,6,10,67,REDACTED
2569979,1,0,0,2,19,14,10,11,7,63,REDACTED
2569979,2,2,3,6,5,5,8,5,8,40,REDACTED
2572796,1,4,8,4,7,6,16,9,5,55,REDACTED
2572796,2,2,7,4,5,4,0,4,3,27,REDACTED
2572796,3,3,5,7,4,8,7,6,6,43,REDACTED
2576463,1,3,3,0,0,0,0,0,0,3,REDACTED
2576463,2,0,0,0,0,0,0,0,0,0,REDACTED
2576484,1,4,8,4,13,6,7,5,0,43,REDACTED
2577440,1,0,0,6,6,2,5,4,0,23,REDACTED
2577440,2,5,4,0,0,5,0,0,0,9,REDACTED
2578322,1,2,2,5,5,6,8,5,5,36,REDACTED
2578322,2,3,3,7,10,4,0,0,2,26,REDACTED
2581661,1,0,0,0,0,0,0,0,0,0,REDACTED
2581661,2,0,0,0,0,0,0,0,0,0,REDACTED
2588463,1,0,0,6,6,6,10,0,0,28,REDACTED
2588463,2,9,9,9,4,8,6,8,10,54,REDACTED
2592356,1,5,5,3,2,6,4,2,6,28,REDACTED
2592356,2,0,0,0,0,0,0,0,0,0,REDACTED
2592356,3,3,4,6,6,0,0,10,2,28,REDACTED
2594688,1,5,6,8,2,2,7,0,0,25,REDACTED
2594688,2,6,7,2,2,0,5,4,4,24,REDACTED
2597985,1,11,11,10,10,3,13,13,14,74,REDACTED
2601214,1,4,4,4,4,11,7,4,4,38,REDACTED
2601214,2,2,2,0,3,0,0,0,0,5,REDACTED
2609398,1,9,2,15,5,2,12,7,8,51,REDACTED
2611413,1,4,6,0,0,0,0,0,3,9,REDACTED
2611413,2,3,4,4,8,13,12,15,10,66,REDACTED
2611413,3,5,5,0,0,10,5,9,0,29,REDACTED
2614633,1,2,4,5,0,7,6,4,5,31,REDACTED
2621146,1,2,2,0,0,0,0,0,0,2,REDACTED
2621146,2,4,4,6,4,0,0,0,0,14,REDACTED
2626517,1,7,7,8,5,5,12,13,4,54,REDACTED
2638244,1,14,17,12,13,11,12,8,10,83,REDACTED
2638244,2,2,3,2,0,0,2,0,13,20,REDACTED
2642276,1,2,0,0,0,0,0,0,0,0,REDACTED
2642276,2,2,7,6,3,0,0,0,5,21,REDACTED
2642276,4,2,4,4,10,5,0,0,0,23,REDACTED
2643323,1,6,6,0,0,0,0,0,0,6,REDACTED
2643742,1,2,3,7,0,0,6,2,6,24,REDACTED
2643742,2,7,8,8,0,7,2,5,13,43,REDACTED
2643778,1,3,4,2,9,7,4,2,5,33,REDACTED
2643945,1,6,5,9,10,5,16,11,15,71,REDACTED
2643945,2,3,5,3,3,0,4,0,3,18,REDACTED
2645047,1,3,6,3,7,6,5,5,3,35,REDACTED
2645047,2,4,8,3,4,9,8,8,4,44,REDACTED
2645047,3,0,0,0,0,0,0,0,0,0,REDACTED
2646999,1,10,18,7,9,5,11,7,11,68,REDACTED
2646999,2,0,0,0,8,17,0,0,0,25,REDACTED
2647188,1,8,11,0,4,3,9,2,7,36,REDACTED
2647188,2,6,8,10,4,4,4,6,4,40,REDACTED
2649003,1,6,7,6,6,1,9,9,4,42,REDACTED
2649003,2,6,2,0,0,0,0,0,0,2,REDACTED
2650170,1,5,2,6,6,7,7,11,3,42,REDACTED
2650170,2,7,11,9,3,7,9,3,4,46,REDACTED
2650170,3,0,2,0,0,0,0,0,0,2,REDACTED
2652089,1,3,3,5,0,7,2,2,2,21,REDACTED
2652089,2,5,6,6,0,3,10,3,4,32,REDACTED
2653286,1,8,11,3,0,14,8,7,0,43,REDACTED
2653286,2,0,0,0,0,12,0,10,11,33,REDACTED
2654851,1,8,8,0,4,9,4,0,0,25,REDACTED
2654851,2,0,0,0,0,0,0,0,0,0,REDACTED
2654851,3,3,3,5,4,10,5,6,7,40,REDACTED
2654878,1,4,4,8,3,6,2,2,13,38,REDACTED
2654878,2,0,0,9,12,9,7,17,0,54,REDACTED
2654878,3,0,0,2,9,7,6,4,19,47,REDACTED
2655433,1,2,3,6,2,4,2,3,0,20,REDACTED
2655433,2,2,2,4,0,2,2,2,2,14,REDACTED
2656998,1,2,2,6,8,6,9,8,0,39,REDACTED
2656998,2,0,0,10,2,7,2,2,4,27,REDACTED
2658298,1,8,8,6,6,9,11,4,11,55,REDACTED
2658298,2,7,7,9,10,0,0,8,13,47,REDACTED
2661241,1,0,0,0,0,0,0,10,7,17,REDACTED
2661241,2,0,0,0,0,0,0,7,7,14,REDACTED
2662005,1,4,7,2,4,0,1,3,2,19,REDACTED
2665232,1,3,4,2,2,3,10,9,3,33,REDACTED
2697790,1,8,8,6,0,0,5,5,0,24,REDACTED
2697790,2,4,6,0,4,0,3,0,7,20,REDACTED
2697790,3,0,6,12,0,0,4,8,3,33,REDACTED
2718575,1,0,0,5,2,0,3,6,2,18,REDACTED
2720349,1,0,0,0,0,3,0,0,0,3,REDACTED
2720349,2,0,0,0,0,0,0,0,0,0,REDACTED
2720349,3,0,0,0,0,0,0,0,0,0,REDACTED
2741339,1,5,5,4,2,4,0,1,0,16,REDACTED
2741339,2,3,3,3,5,0,3,8,3,25,REDACTED
2758999,1,4,5,3,6,6,7,6,3,36,REDACTED
2758999,2,0,0,7,0,5,7,9,4,32,REDACTED
2759536,1,2,2,0,2,0,5,6,6,21,REDACTED
2759536,2,2,0,6,7,7,3,7,5,35,REDACTED
2759536,3,5,5,0,4,3,0,0,0,12,REDACTED
2783063,1,3,3,3,0,5,6,3,12,32,REDACTED
2826327,1,8,8,3,0,3,2,2,3,21,REDACTED
2925637,1,6,6,11,0,0,0,0,0,17,REDACTED
2925637,2,3,3,0,0,7,3,7,5,25,REDACTED
2926552,1,0,0,0,2,0,8,4,6,20,REDACTED
2926552,2,2,3,4,4,1,0,0,0,12,REDACTED
2926552,3,4,4,7,0,3,6,4,0,24,REDACTED
2943742,1,3,4,3,3,3,3,1,0,17,REDACTED
2943742,2,0,0,0,6,4,0,3,1,14,REDACTED
2943742,3,0,0,0,0,0,0,0,0,0,REDACTED
2949525,1,0,0,5,4,9,6,6,3,33,REDACTED
2949525,2,0,0,0,0,0,0,0,0,0,REDACTED
2951975,1,5,5,12,3,2,2,6,2,32,REDACTED
2951975,2,2,4,7,9,2,7,7,7,43,REDACTED
2953058,1,0,0,6,8,6,4,4,9,37,REDACTED
2953058,2,0,0,0,0,0,0,0,0,0,REDACTED
2954351,1,3,5,3,12,15,10,12,6,63,REDACTED
2954351,2,2,2,2,5,2,4,2,5,22,REDACTED
2954351,3,7,11,6,12,6,0,7,9,51,REDACTED
2957153,1,2,2,0,5,0,0,0,2,9,REDACTED
2957153,2,2,2,2,2,3,5,0,0,14,REDACTED
2959995,1,3,3,15,3,7,2,4,0,34,REDACTED
2959995,2,0,0,7,4,5,0,0,0,16,REDACTED
2964861,1,7,7,0,0,0,0,0,0,7,REDACTED
2967627,1,0,0,0,0,0,0,0,0,0,REDACTED
2967627,2,4,5,2,0,0,0,0,0,7,REDACTED
3014343,1,0,7,9,5,4,6,7,9,47,REDACTED
3022385,1,0,0,7,6,5,2,0,3,23,REDACTED
3022385,2,2,2,6,3,7,7,6,0,31,REDACTED
3029527,1,4,3,6,2,3,0,2,6,22,REDACTED
3029527,2,2,2,2,0,0,2,0,0,6,REDACTED
3029751,1,0,0,0,0,0,0,0,0,0,REDACTED
3029751,2,0,0,0,0,0,0,0,0,0,REDACTED
3039701,1,3,5,9,3,4,7,8,3,39,REDACTED
3052193,1,2,2,0,0,2,4,0,5,13,REDACTED
3052193,2,1,1,2,4,2,2,3,5,19,REDACTED
3052193,3,4,3,2,4,0,6,7,2,24,REDACTED
3068067,1,0,0,4,7,0,0,8,5,24,REDACTED
3068067,2,0,0,0,0,0,0,0,0,0,REDACTED
3069471,1,0,0,0,0,3,0,1,0,4,REDACTED
3069471,2,0,0,0,0,0,2,0,0,2,REDACTED
7200837,1,0,0,5,7,11,4,2,2,31,REDACTED
7200837,2,0,0,0,0,0,0,0,0,0,REDACTED
7201245,1,2,2,4,15,5,10,7,14,57,REDACTED
7201245,2,4,4,3,6,2,14,14,0,43,REDACTED
7202124,1,0,2,7,10,4,2,4,2,31,REDACTED
7202124,2,2,0,0,0,0,0,0,2,2,REDACTED
7202124,3,3,3,5,0,3,6,2,0,19,REDACTED
7202261,1,8,8,6,8,3,3,5,3,36,REDACTED
7202387,1,2,5,2,0,0,4,0,0,11,REDACTED
7202838,1,3,3,0,5,0,0,0,0,8,REDACTED
7203018,1,6,0,3,9,8,7,9,6,42,REDACTED
7203018,2,0,0,0,0,0,0,0,0,0,REDACTED
7203018,3,0,0,0,0,0,0,0,0,0,REDACTED
7203094,1,2,5,5,7,0,5,2,5,29,REDACTED
7203094,2,0,0,0,0,0,0,0,0,0,REDACTED
7203374,1,0,0,0,0,0,0,0,0,0,REDACTED
7203374,2,4,7,22,18,19,14,17,8,105,REDACTED
7203525,1,0,0,9,0,6,6,7,0,28,REDACTED
7203525,2,0,0,0,10,0,0,0,5,15,REDACTED
7203896,1,3,3,0,3,0,6,0,0,12,REDACTED
7203896,2,0,0,0,4,7,0,5,0,16,REDACTED
7204105,1,14,15,12,8,0,0,0,0,35,REDACTED
7204105,2,0,0,0,0,0,0,0,0,0,REDACTED
7204239,1,4,4,12,0,0,4,0,11,31,REDACTED
7204239,2,6,12,8,8,15,2,0,0,45,REDACTED
7204286,1,5,9,6,0,1,0,0,0,16,REDACTED
7209067,1,0,19,0,2,20,4,3,16,64,REDACTED
7209067,2,6,3,4,8,12,0,4,0,31,REDACTED
7209067,3,0,0,0,0,0,1,5,0,6,REDACTED
7212324,1,0,0,0,0,0,0,0,0,0,REDACTED
7212324,2,0,0,0,0,0,0,0,0,0,REDACTED
7212324,3,0,0,0,0,0,0,0,0,0,REDACTED
